dashboard,Dashboard,Tableau de bord,Panel principal,Dashboard,ダッシュボード
data-last-updated-on,Data refreshed at {time},Données mises à jours à {time},Datos actualizados a las {time},Gegevens geupdated om {time},{time} にデータを更新しました
data,Data,Données,Datos,Data,データ
date,Date,Date,Fecha,Datum,日付
day,Day,Jour,Día,Dag,日
default-annotation-layers,Default annotation layers,Calques chargés par défaut,Capas de anotación predeterminadas,Lagen worden standaard geladen,デフォルトのアノテーションレイヤー
default-property,Default property,Propriété par défaut,Propiedad por defecto,Default eigenschap,デフォルトのプロパティ
default-store,Default store,Magasin par défaut,Tienda predeterminada,Standaardwinkel,デフォルトのストア
default-value,Default value,Valeur par défaut,Valor por defecto,Eigenschap door uitsluiting,デフォルト値
delete-data,Delete data,Supprimer les données,Borrar datos,Verwijder data,データを削除
delete,Delete,Supprimer,Eliminar,verwijderen,削除
delete-image-confirmation-message,Do you really want to delete image {imageName}? <br> All data will be deleted! This operation will not be recoverable with undo button!,Êtes-vous sûr de vouloir supprimer l'image {imageName} ? <br> Cette action ne pourra être annulée,¿Realmente quieres eliminar la imagen {imageName}? <br> ¡Todos los datos serán eliminados! ¡Esta operación no se puede deshacer!,Bent u zeker dat u afbeelding {imageName} wilt verwijderen? <br> Deze actie kan niet ongedaan worden gemaakt,画像 {imageName} を本当に削除しますか？ <br> すべてのデータが削除されます！この操作は元に戻すことができません！
delete-image,Delete image,Supprimer l'image,Eliminar Imagen,Afbeelding verwijderen,画像を削除
delete-project-confirmation-message,Do you really want to delete project {projectName}? <br> All data will be deleted! This operation will not be recoverable with undo button!,Êtes-vous sûr de vouloir supprimer le projet {projectName} ? <br> Toutes les données de ce projet seront irrémédiablement perdues,¿Realmente desea eliminar el proyecto {projectName}? <br> ¡Todos los datos serán eliminados! ¡Esta operación no se puede deshacer!,Bent u zeker dat u het project {projectName} wilt verwijderen? <br> Alle gegevens in dit project gaan onherstelbaar verloren,プロジェクト {projectName} を本当に削除しますか？ <br> すべてのデータが削除されます！この操作は元に戻すことができません！
delete-image-group,Delete image group,Supprimer le groupe d'images,Eliminar grupo de imágenes,Afbeeldingsgroep verwijderen,画像グループを削除
delete-project,Delete project,Supprimer le projet,Eliminar proyecto,Project verwijderen,プロジェクトを削除
delete-image-group-confirmation-message,Do you really want to delete image group {groupName}? <br> All annotation links will be deleted! This operation will not be recoverable with undo button!,Êtes-vous sûr de vouloir supprimer le groupe d'images {groupName} ? <br> Cette action ne pourra être annulée,¿Realmente desea eliminar el grupo de imágenes {groupName}? <br> ¡Se eliminarán todos los enlaces de anotaciones! ¡Esta operación no será recuperable con el botón de deshacer!,Weet je zeker dat je afbeeldingsgroep {groupName} wilt verwijderen? <br> Alle annotatielinks worden verwijderd! Deze bewerking kan niet worden hersteld met de knop Ongedaan maken!,画像グループ {groupName} を本当に削除しますか？ <br> すべてのアノテーションリンクが削除されます！この操作は元に戻すことができません！
delete-tag-confirmation-message,Do you really want to delete tag {tagName}? <br> All associations will be deleted!,Êtes-vous sûr de vouloir supprimer le tag {projectName} ? <br> Toutes les associations seront irrémédiablement perdues,¿Realmente desea eliminar la etiqueta {tagName}? <br> ¡Todas las asociaciones serán eliminadas!,Bent u zeker dat u de {projectName}-tag wilt verwijderen? <br> Alle verenigingen gaan onherstelbaar verloren,タグ {tagName} を本当に削除しますか？ <br> すべての関連付けが削除されます！
delete-image-group-link,Remove image from its image group,Retirer l'image de son groupe d'images,Eliminar imagen de su grupo de imágenes,Afbeelding uit de afbeeldingsgroep verwijderen,画像グループから画像を削除
delete-tag,Delete tag,Supprimer le tag,Eliminar etiqueta,Tag verwijderen,タグを削除
delete-image-group-link-confirmation-message,Do you really want to remove image {imageName} from its image group? <br> All related annotation links be deleted! This operation will not be recoverable with undo button!,Êtes-vous sûr de vouloir retirer l'image {imageName} de son groupe d'images ? <br> Cette action ne pourra être annulée,¿Realmente desea eliminar la imagen {imageName} de su grupo de imágenes? <br> ¡Se eliminarán todos los enlaces de anotaciones relacionados! ¡Esta operación no será recuperable con el botón de deshacer!,Weet u zeker dat u afbeelding {imageName} uit de afbeeldingsgroep wilt verwijderen? <br> Alle gerelateerde annotatielinks worden verwijderd! Deze bewerking kan niet worden hersteld met de knop Ongedaan maken!,画像 {imageName} を画像グループから本当に削除しますか？ <br> 関連するすべてのアノテーションリンクが削除されます！この操作は元に戻すことができません！
delete-task,Delete task,Supprimer la tâche,Eliminar tarea,Taak verwijderen,タスクを削除
delete-task-message,"This will permanently remove the app, all its runs, and all associated data","Cela supprimera définitivement l'application, toutes ses exécutions et toutes les données associées","Esto eliminará permanentemente la aplicación, todas sus ejecuciones y todos los datos asociados","Dit verwijdert permanent de app, alle runs en alle bijbehorende gegevens",アプリ、そのすべての実行、および関連するすべてのデータが完全に削除されます。
deployed,Deployed,Déployé,Desplegado,Ingezet,デプロイ済み
deploying,Deploying,Déploiement en cours,,Implementatie bezig,デプロイ中
deprecated,Deprecated,Déprécié,Obsoleto,Verouderd,非推奨
description,Description,Description,Descripción,Beschrijving,説明
depth-spectra,Depth spectra,Spectre de profondeur,espectros de profundidad,Diepte spectra,深度スペクトル
detailed-image-consultations,Detailed image consultations,Détails des consultations d'image,Consultas detalladas de imagen,Afbeeldingsweergave details,画像参照の詳細
detailed-image-information,Detailed information of image {imageName},Informations détaillées de l'image {imageName},Información detallada de la imagen {imageName},Gedetailleerde informatie van de afbeelding {imageName},画像 {imageName} の詳細情報
detailed-project-connections,Detailed project connections,Détails des connexions au projet,Conexiones detalladas del proyecto,Details van projectverbindingen,プロジェクト接続の詳細
detecting-format,Detecting format,Détection de format en cours,,Formaatdetectie wordt uitgevoerd,フォーマットを検出中
developer-mode,Developer mode,Mode développeur,,Developersmodus,開発者モード
different-image-group,Incompatible image group,Groupe d'image incompatible,Grupo de imágenes incompatibles,Incompatibele afbeeldingsgroep,互換性のない画像グループ
digital-zoom-checkbox-label,Enable digital zoom (interpolation),Activer le zoom digital (par interpolation),Habilitar zoom digital (interpolación),Digitale zoom inschakelen (door interpolatie),デジタルズームを有効にする（補間）
digital-zoom,Digital zoom,Zoom digital,Zoom digital,Digitale zoom,デジタルズーム
disabled,Disabled,Désactivé,Dehabilitado,Uitgeschalekd,無効
display-annot-details,Display details of currently selected annotation,Afficher les détails de l'annotation sélectionnée,Mostrar detalles de la anotación seleccionada,Bekijk details van geselecteerde annotatie,現在選択中のアノテーションの詳細を表示
display,Display,Affichage,Monitor,Display,表示
dockerhub,DockerHub,DockerHub,DockerHub,DockerHub,DockerHub
documentation-info,A complete documentation is available {docLink}.,Une documentation complète est disponible {docLink}.,La documentación completa está disponible {docLink}.,Volledige documentatie is beschikbaar {docLink}.,完全なドキュメントは {docLink} でご覧いただけます。
documentation,Documentation,Documentation,Documentación,Documentatie,ドキュメント
domain,Cytomine domain,Domaine Cytomine,Dominio de Cytomine,Cytomine-domein,Cytomineドメイン
dont-have-access-to-any-ontology,You don't have access to any ontology,Vous n'avez accès à aucune ontologie,No tiene acceso a ninguna ontología.,U hebt geen toegang tot ontologie,アクセスできるオントロジーがありません。
download-CSV,Download CSV,Télécharger le CSV,Descargar CSV,CSV downloaden,CSV ダウンロード
download-excel,Download Excel,Télécharger l'Excel,Descargar Excel,Excel downloaden,Excel ダウンロード
download-PDF,Download PDF,Télécharger le PDF,Descargar PDF,Download PDF,PDF ダウンロード
download-permission,Download permission,Permission de téléchargement,Permiso de descarga,Download toestemming,ダウンロード権限
download-results,Download results,Télécharger les résultats,Descargar resultados,Resultaten downloaden,結果をダウンロード
drag-drop-upload-info,"You can drag & drop files from your desktop on the ""{labelButton}"" button with Google Chrome, Mozilla Firefox and Apple Safari.","Si vous utilisez Google Chrome, Mozilla Firefox ou Apple Safari, vous pouvez glisser-déposer des fichiers depuis votre ordinateur sur le bouton ""{labelButton}"".","Puede arrastrar y soltar archivos desde su escritorio en el botón &quot;{labelButton}&quot; con Google Chrome, Mozilla Firefox y Apple Safari.","Als u Google Chrome, Mozilla Firefox of Apple Safari gebruikt, kunt u files van uw computer naar de ""{labelButton}""-knop slepen en neerzetten.",Google Chrome、Mozilla Firefox、Apple Safari では、デスクトップからファイルを「{labelButton}」ボタンにドラッグ＆ドロップしてアップロードできます。
draw-tools,Draw tools,Outils de tracé,Herramientas de dibujo,Draw tools,描画ツール
draw,Draw,Outils d'annotations,Herramientas de anotación,Tools voor annotaties,描画
duration,Duration,Durée,Duración,Duur,所要時間
editing-mode-explanation,"Editing mode will change authorisations of contributors. Project managers will still be able to see, add, edit or delete data for this project.","Le mode d'édition détermine les permissions des contributeurs. Les responsables du projet auront toujours la possibilité de voir, ajouter, éditer et supprimer les données de ce projet","El modo de edición cambiará las autorizaciones de los colaboradores. Los administradores de proyecto aún podrán ver, agregar, editar o eliminar datos para este proyecto.","De editingmodus bepaalt de machtigingen van bijdragers. Projectmanagers hebben nog steeds de mogelijkheid om gegevens voor dat project te bekijken, toe te voegen, te bewerken en te verwijderen",編集モードを変更すると、コントリビューターの権限が変更されます。プロジェクトマネージャーは引き続きこのプロジェクトのデータを閲覧、追加、編集、削除できます。
editing-mode,Editing mode,Mode d'édition,Modo de edición,Editingmodus,編集モード
eligible-images-in-this-viewer,Currently displayed images from {imageGroup} image group,Images du groupe d'images {imageGroup} actuellement affichées,Imágenes mostradas actualmente del grupo de imágenes {imageGroup},Momenteel weergegeven afbeeldingen van de {imageGroup}-afbeeldingsgroep,{imageGroup} 画像グループの現在表示中の画像
email,Email address,Adresse e-mail,Correo electrónico,E-mailadres,メールアドレス
eligible-images-not-in-this-viewer,Currently hidden images from {imageGroup} image group,Images du groupe d'images {imageGroup} actuellement non affichées,Imágenes actualmente ocultas del grupo de imágenes {imageGroup},Momenteel verborgen afbeeldingen van {imageGroup} afbeeldingsgroep,{imageGroup} 画像グループの現在非表示の画像
enabled,Enabled,Activé,Habilitado,Ingeschakeld,有効
end-tracking-user-no-longer-broadcasting,Stopped following {username} on image {imageName} because he/she no longer broadcasts his/her position,Le suivi de {username} dans l'image {imageName} a été interrompu car il/elle a cessé de diffuser sa position.,El usuario {username} a interrumpido la transmisión de su posición en la imagen {imageName},Het volgen van {username} in afbeelding {imageName} is gestopt omdat hij/zij is gestopt met het uitzenden van zijn/haar locatie.,{username} が位置情報のブロードキャストを停止したため、画像 {imageName} でのフォローを終了しました。
enter-comment,Enter your comment,Saisissez votre commentaire,Introduzca su comentario,Voer uw opmerking in,コメントを入力してください
enter-description,Enter description,Saisissez une description,Introduzca la descripción,Voer een beschrijving in,説明を入力
enter-new-name-of-image,Enter the new name to use for this image,Nouveau nom de l'image,Ingrese el nuevo nombre de imagen,Nieuwe afbeeldingsnaam,この画像に使用する新しい名前を入力してください
enter-text,Enter text,Saisissez du texte,Introduzca texto,Tekst invoeren,テキストを入力
environment-provider-name,Environment provider username,Nom d'utilisateur du fournisseur de l'environnement d'exécution,Nombre de usuario del proveedor del entorno,usersnaam van de omgeving-provider,環境プロバイダーのユーザー名
environment-provider,Environment provider,Fournisseur de l'environnement d'exécution,Proveedor del entorno,Omgeving-provider,環境プロバイダー
error-attached-files,Error fetching attached files,Erreur lors du chargement des fichiers joints,Error al recuperar archivos adjuntos,Fout bij het laden van bijgevoegde bestanden,添付ファイルの取得エラー
error,Error,Erreur,Error,Fout,エラー
error-cannot-upload,Unexpected error prevents upload,Une erreur inattendue empêche les uploads,Un error inesperado impide la carga,Een onverwachte fout verhindert uploads,予期しないエラーによりアップロードできません。
error-convert,Conversion error,Erreur de conversion,Error de conversión,Conversie error,変換エラー
error-deployment,Deployment error,Erreur de déploiement,Error de despliegue,Implementatiefout,デプロイメントエラー
error-extraction,Extraction error,Erreur d'extraction,,Ophaal error,抽出エラー
error-failed-to-fetch-image-consultations,Error: failed to fetch image consultations,Une erreur a eu lieu lors de la récupération des consultations d'images,Error: no se pudo recuperar las consultas de imagen,Er is een fout opgetreden bij het ophalen van afbeeldingsweergaven,エラー：画像参照の取得に失敗しました。
error-fetch-properties,Error fetching properties,Erreur lors du chargement des propriétés,Error al recuperar propiedades,Fout bij het laden van eigenschappen,プロパティの取得エラー
error-format,Format error,Erreur de format,Error de formato,Formaat error,フォーマットエラー
error-integrity,Corrupted file,Fichier corrompu,,Beschadigd bestand,ファイルが破損しています
error-load-annotations-filters,Failed to load all annotation filters,Une erreur a eu lieu lors du chargement des filtres d'annotations,Error al cargar todos los filtros de anotación,Er is een fout opgetreden bij het laden van annotatiefilters,アノテーションフィルターの読み込みに失敗しました。
error-loading-image-bad-project,At least one image is not in the project from the link, Au moins une image n'est pas dans le project associé au lien,,Ten minste één afbeelding bevindt zich niet in het project dat aan de link is gekoppeld,リンク先のプロジェクトに含まれていない画像が少なくとも1枚あります。
error-loading-image,An error occurred during image loading,Une erreur a eu lieu lors du chargement de l'image,Se produjo un error durante la carga de la imagen,Er is een fout opgetreden tijdens het laden van de afbeelding,画像の読み込み中にエラーが発生しました。
error-unpacking,Unpacking error,Erreur de décompression,,Decompressie fout,展開エラー
execute-command,Execute command,Commande d'exécution,Ejecutar comando,Run-command,コマンドを実行
execution-date,Execution date,Date d'exécution,Fecha de ejecución,Executie datum,実行日
execution-duration,Execution duration,Durée de l'exécution,Duración de la ejecución,Uitvoertijd,実行時間
execution-log,Execution log,Log d'exécution,Registro de ejecución,Uitvoeringslogboek,実行ログ
export-annotations,Export annotations,Exporter les annotations,Exportar anotaciones,Annotaties exporteren,アノテーションをエクスポート
export-ontology,Export ontology,Exporter l'ontologie,Exportar ontología,Ontologie exporteren,オントロジーをエクスポート
extracting-data,Extracting data,Extraction des données en cours,,Gegevensextractie wordt uitgevoerd,データを抽出中
failed-fetch-annots,Failed to fetch annotations,Une erreur a empêché le chargement des annotations,Error al recuperar anotaciones,Door een fout konden annotaties niet worden geladen,アノテーションの取得に失敗しました。
failed,Failed,Échoué,Fallido,Failed,失敗
failed-fetch-current-stats,Failed to fetch current statistics,Une erreur a eu lieu lors du chargement des statistiques sur l'activité en cours,Error al recuperar las estadísticas actuales,Er is een fout opgetreden bij het laden van statistieken over de huidige activiteit,現在の統計情報の取得に失敗しました。
failed-fetch-profile,Failed to fetch image profile,Une erreur a empêché le chargement du profil,,Door een fout kon het profiel niet worden geladen,画像プロファイルの取得に失敗しました。
failed-fetch-recent-projects,Failed to fetch recent projects,Erreur lors du chargement des projets récents,Error al buscar proyectos recientes,Fout bij het laden van recente projecten,最近のプロジェクトの取得に失敗しました。
failed-fetch-tasks,Failed to fetch the tasks, Échec de la récupération des tâches, Error al obtener las tareas, Kan de taken niet ophalen,タスクの取得に失敗しました。
failed-fetch-total-counts,Failed to fetch the total counts,Une erreur a eu lieu lors du chargement des statistiques,No se pudo obtener el recuento total,Er is een fout opgetreden tijdens het laden van statistieken,合計数の取得に失敗しました。
failed-to-retrieve-credentials,Failed to retrieve credentials information,Une erreur a eu lieu lors du chargement des informations d'indentification,Error al obtener la información de credenciales,Kan inloggegevens niet ophalen,認証情報の取得に失敗しました。
failed-to-retrieve-api-keys,Failed to retrieve API keys,Une erreur a eu lieu lors du chargement des clés API,Error al obtener las claves API,Kan API-sleutels niet ophalen,API キーの取得に失敗しました。
fav,Fav.,Fav.,Fav.,Fav.,お気に入り
favorite,Favorite,Favori,Favorito,Favoriet,お気に入り
file-tree,File tree,Arborescence de fichiers,Árbol de archivos,Fileboom,ファイルツリー
filename,Filename,Nom de fichier,Nombre del archivo,Filenaam,ファイル名
files,Files,Fichiers,Archivos,Files,ファイル
fill,Fill,Remplir,Rellenar,Invullen,塗りつぶし
filter,Filter,Filtre,Filtrar,Filter,フィルター
filters,Filters,Filtres,Filtros,Filters,フィルター
first-consultation,First consultation,Première consultation,Primera consulta,Eerste afbeelding consult,初回参照
first-project-connection,First project connection,Première connexion au projet,Primera conexión al proyecto,Eerste verbinding met het project,プロジェクト初回接続
firstname,First name,Prénom,Nombre,Voornaam,名
fluorescence-spectra,Fluorescence spectra,Spectre de fluorescence,Espectros de fluorescencia,Fluorescentie spectra,蛍光スペクトル
follow-user,Follow a user,Suivi d'utilisateur,Seguir a un usuario,User opvolging,ユーザーをフォロー
followers,Followers,Suiveurs,,Volgers,フォロワー
format,Format,Format,Formato,Formaat,フォーマット
forum-image-sc,Image.sc forum,forum Image.sc,Foro de imagen.sc,Image.sc-forum,Image.sc フォーラム
frame-per-second,f/s,f/s,,f/s,f/s
forum-info,We kindly encourage you to ask user-related questions on the {forumLink}.,Nous vous encourageons à poser vos questions sur le {forumLink}.,Le recomendamos que haga preguntas relacionadas con los usuarios en {forumLink}.,We raden u aan gebruikersgerelateerde vragen te stellen op de {forumLink}.,ユーザーに関するご質問は {forumLink} にてお気軽にお寄せください。
frame-rate,Frame rate,Débit des frames,,Frame rate,フレームレート
freehand-correct-add,Correct annotation by adding a freehand area,Corriger l'annotation en lui ajoutant un polygone à main levée,Correjir la anotación agregando un área a mano alzada,Corrigeer de annotatie door er een polygoon uit de vrije hand aan toe te voegen,フリーハンドエリアを追加してアノテーションを修正
freehand-correct-remove,Correct annotation by removing a freehand area,Corriger l'annotation en lui soustrayant un polygone à main levée,Correjir la anotación eliminando un área a mano alzada,Corrigeer de annotatie door er een polygoon uit de vrije hand van af te trekken,フリーハンドエリアを削除してアノテーションを修正
freehand-line,Freehand line,Ligne à main levée,Mano alzada,Lijn uit de vrije hand,フリーハンドライン
freehand-polygon,Freehand polygon,Polygone à main levée,Polígono a mano alzada,veelhoek uit de vrije hand,フリーハンドポリゴン
from-file,From,Fichier parent,Archivo padre,Van file,送信元
from,From,Depuis,Desde,Van,送信元
funding,Funding,Financement,Financiación,Financiering,資金提供
gamma,Gamma,Gamma,Gama,Gamma,ガンマ
general,General,Général,General,Algemeen,一般
geometry,Geometry,Géométrie,Geometría,Geometrie,ジオメトリ
geometry-info,"Geometry information (area, length)","Mesures (aire, périmètre, longueur)","Información de geometría (área, longitud)","Metingen (oppervlakte, omtrek, lengte)",ジオメトリ情報（面積、長さ）
github-repository,GitHub repository,répertoire GitHub,Repositorio de GitHub,GitHub-gids,GitHubリポジトリ
global-size,Global size,Taille globale,Tamaño global,Totale grootte,全体サイズ
go-back,Go back,Page Précédente,Página anterior,Vorige pagina,戻る
green,Green,Vert,Verde,Groen,グリーン
group-linked-annotations,Group linked annotations,Grouper les annotations liées,Anotaciones vinculadas a grupos,Gegroepeerde annotaties,リンクされたアノテーションをグループ化
guest,Guest,Invité,Invitado,Gast,ゲスト
height,Height,Hauteur,Altura,Hoogte,高さ
help,Help,Aide,Ayuda,Hulp,ヘルプ
hide-by-default,Hide layer by default,Caché par défaut,Ocultar capa por defecto,Default verborgen,レイヤーをデフォルトで非表示
hide-contributors-layers-explanation,"If you check ""Hide contributos layers"", a ""simple"" contributor will not be able to see the layers of other contributors. Project managers will still be able to see all layers.","Si cette case est cochée, un ""simple"" contributeur ne pourra pas voir les calques des autres contributeurs du projet. Les responsables du projet seront quant à eux toujours en mesure de visualiser tous les calques.","Si marca &quot;Ocultar capas de colaboradores&quot;, un colaborador &quot;simple&quot; no podrá ver las capas de otros colaboradores. Los administradores del proyecto aún podrán ver todas las capas.","Als dit vakje is aangevinkt, kan een ""eenvoudige"" bijdrager de lagen van de andere bijdragers van het project niet zien. Projectmanagers kunnen nog steeds alle lagen bekijken.",「コントリビューターのレイヤーを非表示」をオンにすると、「一般」コントリビューターは他のコントリビューターのレイヤーを閲覧できなくなります。プロジェクトマネージャーは引き続きすべてのレイヤーを閲覧できます。
hide-contributors-layers,Hide contributors layers,Cacher les calques des contributeurs,Ocultar capas de colaboradores,Verberg bijdragerlagen,コントリビューターのレイヤーを非表示
hide-managers-layers-explanation,"If you check ""Hide managers layers"", a ""simple"" contributor will not be able to see the layers of project managers. Project managers will still be able to see all layers.","Si cette case est cochée, un ""simple"" contributeur ne pourra pas voir les calques des responsables du projet. Les responsables du projet seront quant à eux toujours en mesure de visualiser tous les calques.","Si marca &quot;Ocultar capas de administradores&quot;, un colaborador &quot;simple&quot; no podrá ver las capas de los administradores de proyectos. Los administradores de proyecto aún podrán ver todas las capas.","Als dit vakje is aangevinkt, kan een ""eenvoudige"" bijdrager de lagen van de projectmanagers niet zien. Projectmanagers kunnen nog steeds alle lagen bekijken.",「マネージャーのレイヤーを非表示」をオンにすると、「一般」コントリビューターはプロジェクトマネージャーのレイヤーを閲覧できなくなります。プロジェクトマネージャーは引き続きすべてのレイヤーを閲覧できます。
hide-managers-layers,Hide managers layers,Cacher les calques des responsables,Ocultar capas de administradores,Lagen verbergen voor managers,マネージャーのレイヤーを非表示
hide-successful-upload,Hide successful uploads,Cacher les uploads réussis,Ocultar cargas exitosas,Succesvolle uploads verbergen,成功したアップロードを非表示
hierarchical-drag-drop-term,Terms can be organized hierarchically using Drag & Drop,Les termes peuvent être organisés de manière hiérarchique en utilisant le drag and drop,,Termen kunnen hiërarchisch worden georganiseerd door middel van Drag & Drop,用語はドラッグ＆ドロップで階層的に整理できます
histogram-scale,Histogram scale,Echelle des histogrammes,,Schaal van histogrammen,ヒストグラムスケール
hostname,Hostname,Nom de domaine,Nombre de dominio,Hostnaam,ホスト名
hour,Hour,Heure,Hora,Uur,時間
hue,Hue,Teinte,Tono,Tint,色相
huge,Huge,Très grand,Enorme,Erg groot,超大
id,ID,ID,ID,ID,ID
image-channels,Channels,Canaux,,Channels,チャンネル
image,Image,Image,Imagen,Afbeelding,画像
image-consultations-info-message,An image consultation is recorded each time a user opens an image in Cytomine,Une consultation d'image est enregistrée à chaque ouverture d'image dans Cytomine,Se registra una consulta de imagen cada vez que un usuario abre una imagen en Cytomine,"Elke keer dat een afbeelding in Cytomine wordt geopend, wordt een beeldconsultatie opgeslagen",画像参照は、ユーザーがCytomineで画像を開くたびに記録されます。
image-center-position,image center position,centre de l'image,posición del centro de la imagen,positie in het midden van de afbeelding,画像中心位置
image-consultations,Image consultations,Consultations d'images,Consultas de imagen,Afbeeldingen bekijken,画像参照
image-depth,Depth,Profondeur,,Diepte,深度
image-details,Image details,Détails de l'image,Detalles de la imagen,Afbeeldingsdetails,画像詳細
image-filters,Image filters,Filtres d'images,Filtros de imagen,Afbeeldingsfilters,画像フィルター
image-group,Image group,Groupe d'images,Grupo de imágenes,Beeld groep,画像グループ
image-height,Height,Hauteur,,Hoogte,高さ
image-groups,Image groups,Groupes d'images,Grupos de imágenes,Beeldgroepen,画像グループ
image-in-review-by-since,This image is reviewed by {user} since {date},Cette image est en cours de validation par depuis le {date},{User} revisa esta imagen desde {date},Deze afbeelding wordt gevalideerd door sinds {date},この画像は {date} から {user} によってレビュー中です
image-metadata,Image metadata,Métadonnées de l'image,Metadatos de imagen,Metagegevens van de afbeelding,画像メタデータ
image-not-reviewed,This image has not been reviewed,Cette image n'a pas été validée,Esta imagen no ha sido revisada,Deze afbeelding is niet gevalideerd,この画像はまだレビューされていません
image-size,Image size,Taille de l'image,Tamaño de imagen,Afbeeldingsgrootte,画像サイズ
image-time,Duration,Durée,,Duur,継続時間
image-validated-by-on,This image has been validated by {user} on {date},Cette image a été validée par {user} le {date},Esta imagen ha sido validada por {usuario} el {fecha},Deze afbeelding is gevalideerd door {user} op {date},この画像は {date} に {user} によって検証されました
image-width,Width,Largeur,,Breedte,幅
images_downloadable_by_contributor-explanation,"If this is enabled, contributors will be able to download the images of this project","Avec cette option, les contributeurs pourront télécharger les images de ce projet","Si esta opción está habilitada, los colaboradores podrán descargar las imágenes de este proyecto.",Met deze optie kunnen bijdragers de afbeeldingen van dit project downloaden,有効にすると、コントリビューターはこのプロジェクトの画像をダウンロードできるようになります。
images,Images,Images,Imágenes,Afbeeldingen,画像
images_downloadable_by_contributor,Images downloadable by contributor,Images téléchargeables par les contributeurs,Imágenes descargables por los colaboradores,Afbeeldingen die kunnen worden gedownload door bijdragers,コントリビューターによる画像ダウンロード
images-in-projects,Images in projects,Images au sein des projets,,Afbeeldingen binnen projecten,プロジェクト内の画像
important-notes,Important notes,Remarques importantes,Notas importantes,Belangrijke opmerkingen,重要事項
in-project,in {projectName},dans {projectName},en {projectName},in {projectnaam},{projectName} 内
in-queue,In queue,Dans la file,En cola,In de wachtrij,キュー中
in-review,In review,En cours de validation,En revisión,Review in proces,レビュー中
in-this-image,in this image,dans cette image,,op deze afbeelding,この画像内
in-this-slice,in this slice,dans ce plan,,in dit slice,このスライス内
indeterminate,Indeterminate,Inconnu,Indeterminado,Onbekend,不確定
info-keyword-stop-preview-description,Add the keyword {keyword} where you want to delimit the preview text.,Insérez le mot-clé {keyword} à l'endroit où vous désirez que le texte de prévisualisation s'arrête.,Agregue la palabra clave {keyword} donde desea delimitar el texto de vista previa.,Voeg het trefwoord {keyword} in waar u de voorbeeldtekst wilt laten eindigen.,プレビューテキストの区切り位置にキーワード {keyword} を追加してください。
information,Information,Information,Información,Informatie,情報
inspect-button,Inspect,Inspecter,,Inspecteren,検査
install,Install,Installer,Instalar,Installeren,インストール
insufficient-permission,You don't have the permission to view this page,Vous n'avez pas la permission de consulter cette page,No tiene permiso para ver esta página,U heeft geen toestemming om deze pagina te bekijken,このページを表示する権限がありません
intensities-manipulation,Intensities adjustment,Ajustement des intensités,,Aanpassing van intensiteiten,輝度調整
invalid-password,Invalid password,Mot de passe incorrect,Contraseña inválida,Fout wachtwoord,パスワードが無効です
invalid-token,Invalid token,Token invalide,Token no válido,Ongeldige token,トークンが無効です
inverse,Inverse,Inverse,Inverso,Omgekeerd,反転
key,Key,Clé,Llave,Sleutel,キー
language,Language,Langue,Idioma,Taal,言語
large,Large,Grand,Grande,Groot,大
last-activity,Last activity,Dernière activité,Última actividad,Laatste Activiteit,最終アクティビティ
last-connection,Last connection,Dernière connexion,Última conexión,laatste verbinding,最終接続
last-connections,Last connections,Dernières connexions,Últimas conexiones,Laatste verbindingen,最終接続履歴
last-consultation,Last consultation,Dernière consultation,Última consulta,Laatst gezien,最終参照
last-day,Last day,Dernier jour,Último día,Laatste dag,最終日
last-image,Last image,Dernière image,Última imagen,Laatste afbeelding,最終画像
last-month,Last month,Dernier mois,Último mes,Vorige maand,先月
last-opened-image,Last opened image,Dernière image consultée,Última imagen abierta,Laatst bekeken afbeelding,最後に開いた画像
last-project-connection,Last project connection,Dernière connexion au projet,Última conexión al proyecto,Laatste verbinding met het project,最終プロジェクト接続
last-release,Last release,Dernière version,Ultimo lanzamiento,Laatste versie,最終リリース
last-updated-on,Last updated on,Dernière mise à jour le,Última actualización el,Laatst bijgewerkt op,最終更新日
last-week,Last week,Dernière semaine,Última pasada,Vorige week,先週
last-year,Last year,Dernière année,Último año,Afgelopen jaar,昨年
lastname,Last name,Nom,Apellido,Naam,姓
launched-by,Launched by,Lancé par,Lanzado por,Geïntroduceerd door,実行者
layer,Layer,Calque,Capa,Laag,レイヤー
layers-opacity,Layers opacity,Opacité des calques,Opacidad de las capas,Dekking van de lagen,レイヤーの不透明度
ldap,LDAP,LDAP,LDAP,LDAP,LDAP
legend,Legend,Légende,Leyenda,Legende,凡例
length,Length,Longueur,Longitud,Lengte,長さ
line,Line,Ligne,Línea,Lijn,ライン
linear,Linear,Linéaire,,Lineair,線形
link,Link,Lier,Enlace,Koppeling,リンク
link-group,Group {number},Groupe {number},Grupo {number},Groep {nummer},グループ {number}
link-images,Link images,Synchronisation d'images,Enlace de imágenes,afbeeldingsynchronisatie,画像をリンク
link-mode,Mode,Mode,,Mode,モード
link-other-images-to-this-group,Link this group with additional images...,Synchroniser ce groupe avec d'autres images...,Vincula este grupo con imágenes adicionales ...,Synchroniseer deze groep met andere afbeeldingen...,このグループに追加の画像をリンク...
